Location ID,BJP Category
1,B+
2,B+
3,B+
4,B+
5,B
6,B+
7,A
8,B+
9,B+
10,B+
11,B+
12,A
13,B+
14,B
15,A
16,B+
17,B+
18,A
19,B+
20,B+
21,B
22,B
23,B+
24,B+
25,A
26,B+
27,C
28,B+
29,B+
30,B+
31,B+
32,B+
33,B
34,B+
35,B+
36,B+
37,B+
38,B+
39,B
40,B
41,C
42,B
43,B+
44,B+
45,B+
46,B+
47,B+
48,B+
49,B+
50,B+
51,B+
52,B+
53,B+
54,B+
55,B+
56,B+
57,B+
58,B+
59,C
60,B+
61,B
62,A
63,B+
64,B+
65,B+
66,B+
67,B+
68,B+
69,B+
70,B+
71,B+
72,B+
73,A
74,B
75,B+
76,A
77,B+
78,B+
79,B+
80,A
81,B+
82,B+
83,A
84,B+
85,B+
86,C
87,B+
88,B+
89,A
90,B+
91,A
92,B
93,B
94,B+
95,B+
96,B+
97,B+
98,B+
99,B+
100,B+
101,B+
102,B+
103,B
104,B+
105,B+
106,B+
107,B+
108,A
109,B
110,A
111,B+
112,B+
113,B+
114,B
115,A
116,B+
117,A
118,B+
119,B+
120,B+
121,B+
122,B+
123,B+
124,B+
125,A
126,B
127,B+
128,B+
129,B
130,B+
131,B+
132,B
133,B
134,B
135,B+
136,B+
137,C
138,A
139,B+
140,B+
141,B+
142,A
143,A
144,B+
145,B
146,B+
147,B+
148,C
149,C
150,C
151,B
152,B+
153,A
