Location ID,बूथ नंबर,क्षेत्र का नाम,जाती,Caste %,Total Electors,
68,164 ते 245			,बल्लारशाह,बौद्ध	,18%,81828,14547
68,164 ते 245			,बल्लारशाह,हिन्दी भाषी,15%,81828,12123
68,164 ते 245			,बल्लारशाह,मुस्लिम,12%,81828,9698
68,164 ते 245			,बल्लारशाह,कुनबी,7%,81828,6061
68,164 ते 245			,बल्लारशाह,तेली,6%,81828,4849
68,164 ते 245			,बल्लारशाह,आदिवासी,6%,81828,4849
68,164 ते 245			,बल्लारशाह,क्रिश्चियन,6%,81828,4849
68,164 ते 245			,बल्लारशाह,दक्षिण भारतीय,3%,81828,2425
68,164 ते 245			,बल्लारशाह,गोलकर,2%,81828,1818
68,164 ते 245			,बल्लारशाह,माड़ी,1%,81828,1212
68,164 ते 245			,बल्लारशाह,अन्य,24%,81828,19396
34,46 ते 58 एवं 83 ते 89 पर्यत,ऊर्जानागर,आदिवासी,16%,16181,2665
34,46 ते 58 एवं 83 ते 89 पर्यत,ऊर्जानागर,बौद्ध,15%,16181,2475
34,46 ते 58 एवं 83 ते 89 पर्यत,ऊर्जानागर,उत्तर भारतीय,14%,16181,2189
34,46 ते 58 एवं 83 ते 89 पर्यत,ऊर्जानागर,दक्षिण भारतीय,13%,16181,2094
34,46 ते 58 एवं 83 ते 89 पर्यत,ऊर्जानागर,कुनबी,12%,16181,1999
34,46 ते 58 एवं 83 ते 89 पर्यत,ऊर्जानागर,तेली,7%,16181,1142
34,46 ते 58 एवं 83 ते 89 पर्यत,ऊर्जानागर,मुस्लिम,6%,16181,952
34,46 ते 58 एवं 83 ते 89 पर्यत,ऊर्जानागर,ढीवर,5%,16181,857
34,46 ते 58 एवं 83 ते 89 पर्यत,ऊर्जानागर,ब्राह्मण,3%,16181,476
34,46 ते 58 एवं 83 ते 89 पर्यत,ऊर्जानागर,माना,5%,16181,761
34,46 ते 58 एवं 83 ते 89 पर्यत,ऊर्जानागर,माड़ी,4%,16181,571
48,107 ते 126,मूल,कुनबी,24%,19637,4756
48,107 ते 126,मूल,बौद्ध	,20%,19637,3941
48,107 ते 126,मूल,तेली,17%,19637,3397
48,107 ते 126,मूल,धनगर,12%,19637,2446
48,107 ते 126,मूल,आदिवासी,8%,19637,1631
48,107 ते 126,मूल,माड़ी,6%,19637,1087
48,107 ते 126,मूल,मुस्लिम,6%,19637,1087
48,107 ते 126,मूल,सिंधी,2%,19637,340
48,107 ते 126,मूल,ब्राह्मण,1%,19637,272
48,107 ते 126,मूल,राजपूत,1%,19637,272
48,107 ते 126,मूल,नाई,1%,19637,272
48,107 ते 126,मूल,कोमती,1%,19637,136
35,59 ते 82,दुर्गापुर,बौद्ध	,17%,21707,3618
35,59 ते 82,दुर्गापुर,आदिवासी,11%,21707,2412
35,59 ते 82,दुर्गापुर,कुनबी,11%,21707,2412
35,59 ते 82,दुर्गापुर,उत्तर भारतीय,17%,21707,3618
35,59 ते 82,दुर्गापुर,दक्षिण भारतीय,11%,21707,2412
35,59 ते 82,दुर्गापुर,तेली,7%,21707,1447
35,59 ते 82,दुर्गापुर,धीवर,4%,21707,965
35,59 ते 82,दुर्गापुर,क्रिश्चियन,4%,21707,965
35,59 ते 82,दुर्गापुर,माड़ी,4%,21707,844
35,59 ते 82,दुर्गापुर,धनगर,3%,21707,603
35,59 ते 82,दुर्गापुर,माना,3%,21707,603
35,59 ते 82,दुर्गापुर,ब्राह्मण,3%,21707,603
35,59 ते 82,दुर्गापुर,अन्य,6%,21707,1206
63,148 ते 157,विसापूर,गोंड,25%,8330,2083
63,148 ते 157,विसापूर,कुनबी,20%,8330,1666
63,148 ते 157,विसापूर,तेली,20%,8330,1666
63,148 ते 157,विसापूर,महार,13%,8330,1083
63,148 ते 157,विसापूर,अन्य,22%,8330,1833
